ID,Is_Product_Details_viewed,Session_Activity_Count,No_Items_Added_InCart,No_Items_Removed_FromCart,No_Cart_Viewed,No_Checkout_Confirmed,No_Checkout_Initiated ,No_Cart_Items_Viewed,No_Customer_Login,No_Page_Viewed,Customer_Segment_Type,Cart_Abandoned
Session_ID_0,Yes,4,1,0,0,0,0,1,0,0,0,1
Session_ID_1,No,38,0,0,2,0,0,2,0,2,0,1
Session_ID_2,No,8,5,0,0,1,1,1,0,0,1,0
Session_ID_3,No,6,0,0,2,0,0,4,0,0,0,1
Session_ID_4,Yes,31,14,12,1,0,0,4,0,0,2,1
Session_ID_5,Yes,13,6,0,0,0,1,1,0,5,1,1
Session_ID_6,No,14,4,1,0,1,1,1,0,0,1,0
Session_ID_7,No,7,1,0,,0,1,1,0,3,0,1
Session_ID_8,No,13,8,1,,0,0,1,0,1,1,1
Session_ID_9,No,17,4,1,,1,2,2,1,1,1,0
Session_ID_10,No,20,5,10,,0,0,1,0,2,2,1
Session_ID_11,No,8,,0,,0,2,1,0,4,1,1
Session_ID_12,No,9,,0,,0,1,4,0,1,1,1
Session_ID_13,Yes,8,,0,,0,1,2,0,1,1,1
Session_ID_14,No,3,,0,,0,1,2,0,0,1,1
Session_ID_15,No,31,,0,,0,7,13,0,3,1,1
Session_ID_16,Yes,6,,1,0,0,0,1,0,1,1,1
Session_ID_17,Yes,7,,0,2,0,1,3,0,0,1,1
Session_ID_18,No,35,,8,6,0,2,1,1,9,2,1
Session_ID_19,No,8,,0,0,0,0,2,0,3,1,1
Session_ID_20,Yes,6,3,0,0,0,0,1,0,1,1,1
Session_ID_21,No,35,14,0,3,1,3,3,0,9,1,1
Session_ID_22,No,18,11,1,2,0,0,4,0,5,1,1
Session_ID_23,No,6,2,0,1,0,1,0,0,2,0,1
Session_ID_24,Yes,6,1,0,0,0,1,2,0,2,0,1
Session_ID_25,No,14,6,0,0,0,1,5,0,2,1,1
Session_ID_26,Yes,24,13,0,2,2,0,6,0,0,1,0
Session_ID_27,No,14,5,0,1,1,1,0,1,2,1,0
Session_ID_28,No,30,3,0,11,2,4,2,0,8,1,0
Session_ID_29,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_30,No,7,4,0,1,0,0,1,0,0,1,1
Session_ID_31,Yes,13,8,0,2,0,0,2,0,0,1,1
Session_ID_32,No,16,6,0,2,0,2,2,0,4,1,1
Session_ID_33,Yes,6,2,0,2,0,1,0,0,1,0,1
Session_ID_34,No,6,0,0,2,0,1,0,0,2,0,1
Session_ID_35,Yes,20,0,0,0,0,0,1,0,1,0,1
Session_ID_36,No,12,7,0,1,0,1,1,0,2,1,1
Session_ID_37,No,23,14,0,2,1,1,1,1,1,1,1
Session_ID_38,No,26,5,4,8,0,2,5,1,1,2,1
Session_ID_39,No,8,1,0,0,0,4,1,0,2,0,1
Session_ID_40,No,7,1,0,1,0,2,0,1,2,0,1
Session_ID_41,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_42,No,16,1,0,1,0,0,6,0,2,0,1
Session_ID_43,Yes,3,1,0,1,0,0,0,0,1,0,1
Session_ID_44,No,33,3,0,9,1,4,13,0,0,1,0
Session_ID_45,No,1,0,0,1,0,0,0,0,0,0,1
Session_ID_46,No,38,13,0,5,1,0,13,0,1,1,0
Session_ID_47,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_48,Yes,12,7,0,1,0,0,3,0,0,1,1
Session_ID_49,No,5,1,0,1,0,1,0,0,2,0,1
Session_ID_50,Yes,4,2,0,0,0,0,1,0,1,0,1
Session_ID_51,No,19,5,3,2,0,1,2,1,2,2,1
Session_ID_52,Yes,19,3,1,0,0,0,3,0,7,1,1
Session_ID_53,Yes,10,0,0,3,0,0,1,0,3,0,1
Session_ID_54,No,9,3,0,1,0,1,1,0,3,1,1
Session_ID_55,No,10,1,0,3,1,2,0,0,3,0,0
Session_ID_56,No,9,1,0,4,0,0,3,0,0,0,1
Session_ID_57,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_58,Yes,18,8,0,0,0,0,1,0,8,1,1
Session_ID_59,No,8,4,0,0,0,1,1,0,2,1,1
Session_ID_60,Yes,6,2,0,0,0,0,2,0,0,0,1
Session_ID_61,No,6,1,0,2,0,1,0,0,2,0,1
Session_ID_62,No,15,3,0,6,0,0,5,0,1,1,1
Session_ID_63,No,12,1,0,0,0,0,1,0,4,0,1
Session_ID_64,No,7,3,0,0,0,1,1,0,2,1,1
Session_ID_65,No,29,4,0,1,1,1,1,0,10,1,0
Session_ID_66,No,10,3,0,4,0,1,0,0,2,1,1
Session_ID_67,Yes,8,3,2,0,0,0,0,0,1,2,1
Session_ID_68,Yes,34,26,5,0,0,0,1,0,1,2,1
Session_ID_69,No,8,0,0,3,0,0,2,0,3,0,1
Session_ID_70,Yes,46,12,0,4,0,1,3,0,19,1,1
Session_ID_71,No,31,7,2,0,0,2,9,0,5,2,1
Session_ID_72,Yes,8,4,0,1,0,0,0,0,2,1,1
Session_ID_73,No,18,3,2,3,1,1,3,1,3,2,0
Session_ID_74,No,6,1,0,0,0,1,1,1,2,0,1
Session_ID_75,No,14,3,4,0,1,1,1,1,2,2,0
Session_ID_76,No,17,2,0,1,0,0,5,0,0,0,1
Session_ID_77,Yes,6,2,0,0,0,0,1,0,2,0,1
Session_ID_78,Yes,23,9,2,4,0,0,2,0,5,2,1
Session_ID_79,No,9,2,0,1,0,0,3,0,1,0,1
Session_ID_80,No,13,3,2,3,0,1,1,0,3,2,1
Session_ID_81,No,42,8,2,5,1,1,3,1,14,2,0
Session_ID_82,Yes,5,2,0,1,0,0,1,0,0,0,1
Session_ID_83,No,10,0,0,1,1,2,1,0,3,0,0
Session_ID_84,No,3,0,0,2,0,0,0,0,1,0,1
Session_ID_85,Yes,3,1,0,0,0,0,2,0,0,0,1
Session_ID_86,No,23,3,1,5,0,0,5,0,6,1,1
Session_ID_87,No,46,0,0,3,0,1,1,0,9,0,1
Session_ID_88,No,53,0,0,7,1,14,31,0,0,0,0
Session_ID_89,No,36,3,0,14,0,7,10,0,2,1,1
Session_ID_90,No,8,2,0,0,0,1,2,0,3,0,1
Session_ID_91,No,5,0,0,2,0,0,3,0,0,0,1
Session_ID_92,Yes,9,4,0,3,0,0,1,0,0,1,1
Session_ID_93,Yes,32,11,0,3,0,1,5,0,11,1,1
Session_ID_94,Yes,4,1,0,0,0,0,0,0,1,0,1
Session_ID_95,No,17,6,1,3,1,1,2,1,2,1,0
Session_ID_96,Yes,4,1,2,0,0,0,0,0,0,0,1
Session_ID_97,Yes,36,5,0,7,0,3,20,0,1,1,1
Session_ID_98,No,2,0,0,2,0,0,0,0,0,0,1
Session_ID_99,Yes,7,1,4,1,0,0,0,0,1,2,1
Session_ID_100,No,22,3,2,8,0,1,2,0,6,2,1
Session_ID_101,Yes,5,1,2,1,0,0,0,0,1,0,1
Session_ID_102,No,2,0,0,1,0,0,0,0,1,0,1
Session_ID_103,Yes,13,1,0,0,0,1,0,0,2,0,1
Session_ID_104,No,5,0,0,1,0,0,1,0,1,0,1
Session_ID_105,Yes,8,2,0,2,0,1,1,0,2,0,1
Session_ID_106,No,5,1,0,0,0,0,2,0,1,0,1
Session_ID_107,No,94,8,2,3,1,2,1,1,5,2,0
Session_ID_108,No,7,0,0,0,1,2,0,1,3,0,0
Session_ID_109,No,6,3,1,0,0,0,0,0,0,1,1
